DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
25:13.3,-24.869,-70.886,58.2,6.3,Me,212,,,1.15,NEI,2000112940
43:09.6,14.876,-93.944,33,6.1,Mw,151,,,1,NEI,2000120440
11:06.4,39.566,54.799,30,7,Mw,495,,,0.9,NEI,2000120640
57:40.0,-4.218,152.725,31,6.5,Mw,401,,,0.98,NEI,2000120640
26:45.9,6.015,-82.679,10,6.1,Mw,374,,,1.09,NEI,2000121240
44:47.7,38.457,31.351,10,6,Mw,174,,,1.24,NEI,2000121540
19:21.6,-21.178,-179.124,628.2,6.6,Mw,532,,,0.91,NEI,2000121840
11:47.4,11.765,144.76,33,6.2,Mw,294,,,1.01,NEI,2000121940
23:54.1,-39.008,-74.662,11,6.5,Me,253,,,1.05,NEI,2000122040
49:43.3,-9.231,154.353,33,6.6,Mw,105,,,1.27,NEI,2000122040
01:27.8,-5.706,151.122,33,6.4,Mw,424,,,0.82,NEI,2000122140
41:23.1,-5.354,154.133,386.7,6,Mw,247,,,0.81,NEI,2000122140
13:01.1,44.79,147.196,140.4,6.2,Mw,528,,,0.81,NEI,2000122240
13:24.3,-7.873,135.816,61.7,6,Mw,129,,,0.89,NEI,2000122340
34:28.4,-4.05,152.307,33,6.2,Mw,170,,,0.98,NEI,2000122840
57:04.2,6.898,126.579,33,7.5,Mw,324,,,1.06,NEI,2001010140
54:31.6,6.631,126.899,33,6.8,Mw,64,,,0.94,NEI,2001010140
30:03.8,6.749,126.809,33,6.4,Mw,161,,,0.89,NEI,2001010240
17:42.0,-11.16,162.44,33,6,Mw,34,,,1.12,NEI,2001010240
49:28.0,-14.928,167.17,103,7.1,Mw,372,,,1.15,NEI,2001010940
02:42.6,56.7744,-153.281,36.38,6.93,ML,104,,,1.66,AK,1970010640
04:03.0,48.89,-129.31,10,6,Mw,341,,,0,PGC,2001011140
33:32.4,13.049,-88.66,60,7.7,Mw,427,,,1.13,NEI,2001011340
52:16.2,-40.344,78.362,10,6.4,Mw,87,,,1.07,NEI,2001011540
25:01.1,-3.957,101.746,33,6,Mb,330,,,0.86,NEI,2001011640
25:09.8,-4.022,101.776,28,6.9,Mw,117,,,1.22,NEI,2001011640
12:52.1,15.402,-92.718,93.2,6,Mw,357,,,1.14,NEI,2001011940
10:14.7,-11.662,166.38,50,6.3,Mw,215,,,1.1,NEI,2001011940
04:34.6,-58.161,-9.472,33,6,Mw,37,,,1.34,NEI,2001011940
16:40.5,23.419,70.232,16,7.7,Mw,472,,,1.25,NEI,2001012640
21:25.9,-0.677,133.334,33,6.2,Mw,159,,,1.04,NEI,2001012940
19:30.4,51.437,-177.797,33,6,Mw,434,,,0.88,NEI,2001020140
22:05.8,13.671,-88.938,10,6.6,Mw,273,,,1.44,NEI,2001021340
28:30.3,-4.68,102.562,36,7.4,Mw,221,,,1.31,NEI,2001021340
04:25.6,-19.494,177.33,10,6.1,Mw,183,,,1.28,NEI,2001021440
16:59.2,-19.691,177.39,10,6.2,Mw,192,,,1.07,NEI,2001021440
